operation	wikiLinkKey	wikiLinkLabel	currentLink	newLink
CREATE		Create public cloud region		https://abiquo.atlassian.net/wiki/spaces/doc/pages/330236464/Create+a+public+cloud+region
CREATE		Edit public cloud region		https://abiquo.atlassian.net/wiki/spaces/doc/pages/439189561/Manage+public+cloud+regions
CREATE		Manage snapshots		https://abiquo.atlassian.net/wiki/spaces/doc/pages/311363919/Manage+VM+snapshots
CREATE	client.wiki.network.managePublicQoS	Manage Public QoS		https://abiquo.atlassian.net/wiki/spaces/doc/pages/311377858/Limit+bandwidth+of+Public+IPs+with+QoS
UPDATE	client.wiki.infra.createDatacenter	Create datacenter	https://wiki.abiquo.com/display/doc/Manage+Datacenters+and+Public+Cloud+Regions	https://abiquo.atlassian.net/wiki/spaces/doc/pages/329908734/Manage+datacenters
UPDATE	client.wiki.infra.editDatacenter	Edit datacenter	https://wiki.abiquo.com/display/doc/Manage+Datacenters+and+Public+Cloud+Regions#ManageDatacentersandPublicCloudRegions-ModifyaDatacenteroraPublicCloudRegion	https://abiquo.atlassian.net/wiki/spaces/doc/pages/329908734/Manage+datacenters
UPDATE	client.wiki.infra.manageRemoteService	Manage remote services	https://wiki.abiquo.com/display/doc/Manage+Datacenters+and+Public+Cloud+Regions#ManageDatacentersandPublicCloudRegions-ManageRemoteServices	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371012/Manage+remote+services
UPDATE	client.wiki.infra.editRemoteService	Edit remote service	https://wiki.abiquo.com/display/doc/Manage+Datacenters+and+Public+Cloud+Regions#ManageDatacentersandPublicCloudRegions-ModifyRemoteServices	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371012/Manage+remote+services
UPDATE	client.wiki.infra.createPhysicalMachine	Create physical machine	https://wiki.abiquo.com/display/doc/Compute+in+Datacenters#ComputeinDatacenters-CreateMachines	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311370957/Compute+in+datacenters#Create-servers
UPDATE	client.wiki.infra.createRack	Create rack	https://wiki.abiquo.com/display/doc/Compute+in+Datacenters#ComputeinDatacenters-CreateRacks	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311370957/Compute+in+datacenters#Create-racks
UPDATE	client.wiki.infra.mailNotification	Mail notification	https://wiki.abiquo.com/display/doc/Compute+in+Datacenters#ComputeinDatacenters-SendingEmailNotifications	https://abiquo.atlassian.net/wiki/spaces/doc/pages/327581880/Administer+compute+resources+in+datacenters#Send-email-notifications
UPDATE	client.wiki.xaas	Manage Xaas	https://wiki.abiquo.com/display/doc/Abiquo+XaaS+feature+to+offer+Anything+as+a+Service	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311364013/Abiquo+XaaS
UPDATE	client.wiki.network.excludedNetworks	Manage excluded networks	https://wiki.abiquo.com/display/doc/Manage+excluded+networks	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375688/Reserve+private+network+ranges+with+excluded+networks
UPDATE	client.wiki.network.manageQoS	Manage NAT QoS	https://wiki.abiquo.com/display/doc/Manage+Networks#ManageNetworks-LimitPublicIPbandwidthsforaVDC	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311362527/Manage+NAT+for+virtual+datacenters#Limit-NAT-IP-bandwidth-for-a-VDC
UPDATE	client.wiki.allocation.global	Set global allocation rules	https://wiki.abiquo.com/display/doc/Allocation+Rules#AllocationRules-GlobalRulesManagement	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311370944/Allocation+rules
UPDATE	client.wiki.allocation.datacenter	Set datacenter allocation rules	https://wiki.abiquo.com/display/doc/Allocation+Rules#AllocationRules-DatacenterRulesManagement	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311370944/Allocation+rules
