operation	wikiLinkKey	wikiLinkLabel	currentLink	newLink
UPDATE	client.wiki.infra.createDatacenter	Create datacenter	https://wiki.abiquo.com/display/doc/Manage+Datacenters+and+Public+Cloud+Regions	https://wiki.abiquo.com/display/doc/Create+a+datacenter
UPDATE	client.wiki.infra.editDatacenter	Edit datacenter	https://wiki.abiquo.com/display/doc/Manage+Datacenters+and+Public+Cloud+Regions#ManageDatacentersandPublicCloudRegions-ModifyaDatacenteroraPublicCloudRegion	https://wiki.abiquo.com/display/doc/Edit+a+datacenter
UPDATE	client.wiki.infra.manageRemoteService	Manage remote services	https://wiki.abiquo.com/display/doc/Manage+Datacenters+and+Public+Cloud+Regions#ManageDatacentersandPublicCloudRegions-ManageRemoteServices	https://wiki.abiquo.com/display/doc/Manage+remote+services
DELETE	client.wiki.infra.editRemoteService	Edit remote service	https://wiki.abiquo.com/display/doc/Manage+Datacenters+and+Public+Cloud+Regions#ManageDatacentersandPublicCloudRegions-ModifyRemoteServices	
UPDATE	client.wiki.infra.createPhysicalMachine	Create physical machine	https://wiki.abiquo.com/display/doc/Compute+in+Datacenters#ComputeinDatacenters-CreateMachines	https://wiki.abiquo.com/display/doc/Create+a+physical+machine
UPDATE	client.wiki.infra.createRack	Create rack	https://wiki.abiquo.com/display/doc/Compute+in+Datacenters#ComputeinDatacenters-CreateRacks	https://wiki.abiquo.com/display/doc/Create+a+rack
UPDATE	client.wiki.infra.mailNotification	Mail notification	https://wiki.abiquo.com/display/doc/Compute+in+Datacenters#ComputeinDatacenters-SendingEmailNotifications	https://wiki.abiquo.com/display/doc/Mail+notifications
UPDATE	client.wiki.xaas	Manage Xaas	https://wiki.abiquo.com/display/doc/Abiquo+XaaS+feature+to+offer+Anything+as+a+Service	https://wiki.abiquo.com/display/doc/Abiquo+XaaS
UPDATE	client.wiki.network.manageQoS	Manage NAT QoS	https://wiki.abiquo.com/display/doc/Manage+Networks#ManageNetworks-LimitPublicIPbandwidthsforaVDC	https://wiki.abiquo.com/display/doc/Manage+NAT+QoS
CREATE	client.wiki.network.managePublicQoS	Manage Public QoS		https://wiki.abiquo.com/display/doc/Limit+bandwidth+of+Public+IPs+with+QoS
UPDATE	client.wiki.allocation.global	Set global allocation rules	https://wiki.abiquo.com/display/doc/Allocation+Rules#AllocationRules-GlobalRulesManagement	https://wiki.abiquo.com/display/doc/Allocation+rules
UPDATE	client.wiki.allocation.datacenter	Set datacenter allocation rules	https://wiki.abiquo.com/display/doc/Allocation+Rules#AllocationRules-DatacenterRulesManagement	https://wiki.abiquo.com/display/doc/Allocation+rules
UPDATE	client.wiki.backup.manageBackupPolicyProperties	Edit backup policy properties	https://wiki.abiquo.com/display/doc/Backup#Backup-ConfigureBackupPolicyProperties	https://wiki.abiquo.com/display/doc/Edit+backup+policy+properties
UPDATE	client.wiki.vdc.createVdc	Create virtual datacenter	https://wiki.abiquo.com/display/doc/Manage+Virtual+Datacenters#ManageVirtualDatacenters-Createavirtualdatacenter	https://wiki.abiquo.com/display/doc/Manage+virtual+datacenters
